accreditor_name,chea_recognized,usde_recognized,notes
Accrediting Commission for Community and Junior Colleges,TRUE,TRUE,Also operates as part of Western Association of Schools and Colleges (WASC); appears in Scorecard data as "ACCJC" or "WASC" variants
Higher Learning Commission,TRUE,TRUE,HLC
Middle States Commission on Higher Education,TRUE,TRUE,MSCHE
New England Commission on Higher Education,TRUE,TRUE,NECHE; formerly NEASC-CIHE
Northwest Commission on Colleges and Universities,TRUE,TRUE,NWCCU
Southern Association of Colleges and Schools Commission on Colleges,TRUE,TRUE,SACSCOC
Western Association of Schools and Colleges Senior Colleges and University Commission,TRUE,TRUE,WSCUC; Scorecard data spells out the full name rather than the "WASC" abbreviation
