accreditor_name,notes
Association for Biblical Higher Education Commission on Accreditation,ABHE
Association of Advanced Rabbinical and Talmudic Schools Accreditation Commission,AARTS
Association of Institutions of Jewish Studies,AIJS
Commission on Accrediting of the Association of Theological Schools,"ATS; Scorecard data sometimes shows this as ""Association of Theological Schools, Inc."""
Transnational Association of Christian Colleges and Schools Accreditation Commission,TRACS
